epoch,iteration,model_best_val_score,model_loss,model_val_score,step,train_dataset_size,val_dataset_size
0.0,0.0,0.014921781606972218,-1.6085344552993774,0.014909467659890652,1,10.0,0.0
1.0,0.0,0.014921781606972218,-1.6089555025100708,0.014897176995873451,2,10.0,0.0
2.0,0.0,0.014921781606972218,-1.609376072883606,0.014884906820952892,3,10.0,0.0
3.0,0.0,0.014921781606972218,-1.6097966432571411,0.014872659929096699,4,10.0,0.0
4.0,0.0,0.014921781606972218,-1.6102174520492554,0.014860427938401699,5,10.0,0.0
5.0,0.0,0.014921781606972218,-1.6106382608413696,0.014848208986222744,6,10.0,0.0
6.0,0.0,0.014921781606972218,-1.6110588312149048,0.014836001209914684,7,10.0,0.0
7.0,0.0,0.014921781606972218,-1.6114803552627563,0.014823801815509796,8,10.0,0.0
8.0,0.0,0.014921781606972218,-1.6119016408920288,0.014811608009040356,9,10.0,0.0
9.0,0.0,0.014921781606972218,-1.6123238801956177,0.01479941327124834,10,10.0,0.0
10.0,0.0,0.014787216670811176,-1.6127468347549438,0.014787216670811176,11,10.0,0.0
11.0,0.0,0.014787216670811176,-1.6131707429885864,0.014775012619793415,12,10.0,0.0
12.0,0.0,0.014787216670811176,-1.6135960817337036,0.014762798324227333,13,10.0,0.0
13.0,0.0,0.014787216670811176,-1.614022135734558,0.014750569127500057,14,10.0,0.0
14.0,0.0,0.014787216670811176,-1.6144496202468872,0.014738318510353565,15,10.0,0.0
15.0,0.0,0.014787216670811176,-1.61487877368927,0.014726045541465282,16,10.0,0.0
16.0,0.0,0.014787216670811176,-1.6153098344802856,0.014713743701577187,17,10.0,0.0
17.0,0.0,0.014787216670811176,-1.6157430410385132,0.014701408334076405,18,10.0,0.0
18.0,0.0,0.014787216670811176,-1.6161783933639526,0.014689031057059765,19,10.0,0.0
19.0,0.0,0.014787216670811176,-1.616615891456604,0.014676612801849842,20,10.0,0.0
20.0,0.0,0.014787216670811176,-1.6170560121536255,0.014664143323898315,21,10.0,0.0
21.0,0.0,0.014651618897914886,-1.6174994707107544,0.014651618897914886,22,10.0,0.0
22.0,0.0,0.014651618897914886,-1.6179455518722534,0.014639034867286682,23,10.0,0.0
23.0,0.0,0.014651618897914886,-1.618395209312439,0.01462638657540083,24,10.0,0.0
24.0,0.0,0.014651618897914886,-1.6188479661941528,0.014613665640354156,25,10.0,0.0
0.0,1.0,0.014111003838479519,-1.627811849117279,0.014085411094129086,26,110.0,0.0
1.0,1.0,0.014111003838479519,-1.6279975771903992,0.014060288667678833,27,110.0,0.0
2.0,1.0,0.014111003838479519,-1.6285781264305115,0.014035600237548351,28,110.0,0.0
3.0,1.0,0.014111003838479519,-1.6298586130142212,0.014011600986123085,29,110.0,0.0
4.0,1.0,0.014111003838479519,-1.6310758590698242,0.013987776823341846,30,110.0,0.0
5.0,1.0,0.013964167796075344,-1.6348467469215393,0.013964167796075344,31,110.0,0.0
6.0,1.0,0.013964167796075344,-1.6360198259353638,0.013940858654677868,32,110.0,0.0
7.0,1.0,0.013964167796075344,-1.635050356388092,0.013917907141149044,33,110.0,0.0
8.0,1.0,0.013964167796075344,-1.6359003782272339,0.013894780538976192,34,110.0,0.0
