env_step,episode_reward,step
10.0,-8.233392101398032,1
20.0,-5.496277315890374,2
30.0,-7.270818421354489,3
40.0,-7.017008360276835,4
50.0,-7.883072466790851,5
60.0,-7.910550307096013,6
70.0,-7.543261500620886,7
80.0,-5.846935140079634,8
90.0,-5.550649769809188,9
100.0,-5.873987722384371,10
110.0,-6.192031703061841,11
120.0,-7.092835362904713,12
130.0,-8.179809065953528,13
140.0,-6.8212716176805595,14
150.0,-7.175775121411645,15
160.0,-5.946371586018875,16
170.0,-6.814339198273586,17
180.0,-6.4047703684649795,18
190.0,-8.216223868245331,19
200.0,-5.840171320916637,20
210.0,-5.952821909963202,21
220.0,-8.315381016078739,22
230.0,-5.897642644957972,23
240.0,-7.590885136638332,24
250.0,-5.98661017940204,25
260.0,-6.9922301578925135,26
270.0,-6.707325929148031,27
280.0,-7.132052410536103,28
290.0,-6.982755821858767,29
300.0,-5.656404124137657,30
310.0,-4.652882441710917,31
320.0,-6.0674257061122585,32
330.0,-6.866217901324376,33
340.0,-5.261870781919248,34
350.0,-4.224631137067231,35
360.0,-4.3263175492008346,36
370.0,-5.313651385953463,37
380.0,-4.573804680116016,38
390.0,-6.31434829508002,39
400.0,-5.985019414583915,40
410.0,-10.20158874025928,41
420.0,-8.689330020400961,42
